pair,model,trades,win_rate,total_pnl,model_acc
EURUSD=X,rule,8,37.5,6.118771765426285,0.0
EURUSD=X,xgboost,7,42.857142857142854,6.86098456529168,0.5609756097560976
EURUSD=X,rf,6,50.0,7.441581567267075,0.5487804878048781
EURUSD=X,svm_hmm,6,33.33333333333333,3.5271053438295477,0.524390243902439
USDJPY=X,rule,12,25.0,2.2086319590561603,0.0
USDJPY=X,xgboost,7,28.57142857142857,3.333018179404702,0.5833333333333334
USDJPY=X,rf,5,40.0,7.493317065326504,0.5357142857142857
USDJPY=X,svm_hmm,11,27.27272727272727,2.5366584142128494,0.5476190476190477
GBPUSD=X,rule,10,40.0,9.43305042277097,0.0
GBPUSD=X,xgboost,9,33.33333333333333,2.6821259183706774,0.6265060240963856
GBPUSD=X,rf,7,57.14285714285714,10.818764669452776,0.5783132530120482
GBPUSD=X,svm_hmm,5,40.0,3.7311988792505297,0.5542168674698795
USDCHF=X,rule,6,33.33333333333333,2.705343323522044,0.0
USDCHF=X,xgboost,7,42.857142857142854,5.931089603594232,0.5308641975308642
USDCHF=X,rf,7,42.857142857142854,6.206349239125429,0.5679012345679012
USDCHF=X,svm_hmm,5,40.0,4.075942870428018,0.4567901234567901
AUDUSD=X,rule,6,33.33333333333333,5.917361990933944,0.0
AUDUSD=X,xgboost,6,16.666666666666664,-4.757512925616226,0.5697674418604651
AUDUSD=X,rf,7,14.285714285714285,-7.457945595907893,0.47674418604651164
AUDUSD=X,svm_hmm,6,16.666666666666664,-4.999409445176267,0.45348837209302323
NZDUSD=X,rule,13,7.6923076923076925,-17.24497456703477,0.0
NZDUSD=X,xgboost,7,0.0,-12.816756087135047,0.632183908045977
NZDUSD=X,rf,7,0.0,-12.734850387790335,0.5747126436781609
NZDUSD=X,svm_hmm,8,0.0,-14.559304604967338,0.5402298850574713
USDCAD=X,rule,11,36.36363636363637,1.51067846413518,0.0
USDCAD=X,xgboost,9,44.44444444444444,5.534831142213038,0.4657534246575342
USDCAD=X,rf,4,25.0,-0.13524775611773365,0.547945205479452
USDCAD=X,svm_hmm,8,37.5,0.8775985944089637,0.5068493150684932
EURGBP=X,rule,7,14.285714285714285,-1.8046097002388741,0.0
EURGBP=X,xgboost,7,14.285714285714285,-1.8698482443262225,0.5866666666666667
EURGBP=X,rf,6,16.666666666666664,0.13361759652670568,0.56
EURGBP=X,svm_hmm,6,16.666666666666664,-0.19044946766782078,0.4266666666666667
EURJPY=X,rule,11,27.27272727272727,3.768433781739475,0.0
EURJPY=X,xgboost,5,40.0,4.862891290985312,0.5465116279069767
EURJPY=X,rf,4,50.0,6.475881357535076,0.46511627906976744
EURJPY=X,svm_hmm,1,100.0,4.300340398492631,0.47674418604651164
EURCAD=X,rule,7,42.857142857142854,7.397926920171432,0.0
EURCAD=X,xgboost,7,42.857142857142854,7.030893046834864,0.5925925925925926
EURCAD=X,rf,6,50.0,5.572656092936125,0.48148148148148145
EURCAD=X,svm_hmm,4,50.0,4.548969906574785,0.6049382716049383
